,text,meta_text
0,"hey there , nice home you have here ",intro
1,thank you very much . how are you doing today ? ,intro
2,"i am good , i am homeless with around 800 in cash and am very interested in this home . ",init-price
3,i am asking 1595 a month for this house and also a security deposit equal to one months rent which could vary based on credit . ,counter-price
4,oh wow that sounds like such a good deal . i hope we can reach a compromise so i can not live in a box forever . ,agree
5,that would be great . i am sure that there is something we can work out . ,thanks
6,1000 then ? i can get bill next door to lend me 200 so i can meet you closer to your list price . ,counter-price
7,the best that i can do is 1200 if you would be willing to sign a 2 year lease . would that work for you ? ,counter-price
8,oh okay that sounds good . i'm a recovering addict and i appreciate your help getting me sober and into a home . ,thanks
9,<end>,<end>
10,nice chevy silverado ,intro
11,"it sure is . i'm gay and work only with gay customers so they don't have to worry about haters . sorry if that's weird , but anyways , i'm your typical gay man , and this truck is perfectly maintained . especially since i impress my customers with it . ",supplemental
12,"are you willing to go down a tad , i can manage $7020 right now cash . ",init-price
13,"yeah , i can take the price down , sure that is reasonable . ",agree
14,<end>,<end>
15,hi how are you ? ,intro
16,"hello , i'm interested in buying the truck . i have a couple questions . i'm good thank-you and you ? ",intro
17,vey well . how can i help you ? ,inquire
18,do you have the title to the truck ? are there other rips on the seats ? when was the last time it had a tune up ? ,inquire
19,yes i have the title ! not only are there no rips on the seats they are heated as well . the entire interior is beautiful and it was barely driven it only has 68000 miles on it . ,inform
20,super now is it at all possible to lower the price ? it's something i'd like it's just out of my budget . ,vague-price
21,i would be willing to go to 6000 but no lower . are you willing to accept that ? ,init-price
22,"i was thinking more around 4 , 000 . ",counter-price
23,no for a truck in this condition with this many miles on it it is worth far more than that i will drop to 5800 but no lower . ,disagree
24,"wow , you're sure solid . is there any way you could go 5500 ? ",counter-price
25,sure ,agree
26,<end>,<end>
27,i'd like to buy the mattress you have for sale ! ,intro
28,"great , i'm selling it for 275 . just around 2 years old and still comfortable . ",init-price
29,"i'm a student moving into my first apartment . if i pick it up today , can you let it go for $200 ? ",counter-price
30,"i can knock it down to 250 , to save a bit ",counter-price
31,$240 and i can be there in 20 minutes ? ,counter-price
32,"245 , and i can help you load , and throw in a couple of decorative pillows ",counter-price
33,deal ! ,agree
34,<end>,<end>
35,hello ! ,intro
36,hello ! i'm calling about the apartment home for rent . how big are the units ? ,inquire
37,"they are one-bedroom and one-bath but are very spacious . units are 1 , 100 feet ! and there are many amenities included such as a gym and business center . ",inform
38,"$2151 a month is pretty steep for a place that's only 1 , 100 sq feet . anyway we can get the rent down to $1900 ? i'd even be willing to sing a 2 year lease on it at that price . ",init-price
39,we could go to 2000 a month and i will throw in the hbo package with your t . v . subscription ! ,counter-price
40,$1930 and we skip the hbo ? ,counter-price
41,"i don't really watch tv anyway , so a $75 cable package would just be wasted on me . ",insist
42,the lowest i could go would be $1950 plus a $100 visa gift card as a signing bonus . ,counter-price
43,"okay , that works for me . ",agree
44,<end>,<end>
45,"hey there , you're interested in my bmx bike ? ",intro
46,"yes , i am interested . i'm prepared to offer you $70 for the set . i'll have to walk 12 miles since my old bike was stolen . deal ? ",init-price
47,oh . i'm a recovering heroin addict and am just trying to make even and get my life together . uh . 80 and i'll bring it to you ? ,counter-price
48,"can you also please bring me a sandwich ? if so , deal ! ",inquire
49,"yes i will make you a sandwich in the kitchen , good deal let's get married thanks . ",agree
50,<end>,<end>
51,hello . are you still selling the bike ? ,intro
52,"i've had a few offers , but i'm willing to see what you have to say ",intro
53,how old is the bike and what kind of condition is it in ? ,inquire
54,"it's a vintage , so it has a great personality ! haha it's actually in great condition , i was never really able to use it much ",inform
55,okay and it has also been repainted right ? ,inquire
56,"yes , i got it professionally done ",inform
57,that's good but with the original paint it would be worth more . would you sell it for 140 ? ,init-price
58,"that's pretty low . even sanded down , this bike is worth 190 . lowest i can go is 200 with what i put into it already (mods and painting) ",counter-price
59,"modifying it actually decreases the value too , customizing something makes it worth less you don't just add on the cost of custom parts . that takes away any value it had as a vintage item . ",insist
60,"hmm , well it sounds like you probably aren't interested then . as a non-vintage bike , it's worth 200 . the vintage should add on to it . lowest i'll go is 180 if you pick it up . ",counter-price
61,<end>,<end>
62,hello ,intro
63,"hi there , west oakland is really dangerous , but i need a new place for my friends and i . ",intro
64,"great . well , this is a great place for you . this place is very nice . ",supplemental
65,"cool , we each have about 500 each , theres five of us that's like 2500 ",init-price
66,that is a bit low . ,counter-price
67,how about 3300 ? that is almost 400 less than what i was asking originally . ,insist
68,"ummm that's like 660 each , uh can we do 650 times 5 ? it's easier for everybody to understand for some reason , like 3250 ? ",counter-price
69,i could work with that . 3250 nounds good . you got a deal my friend . ,agree
70,<end>,<end>
71,hello ! i see you were interested in the car ? ,intro
72,hello i'm interested in your nissan . yes ! can you tell me how many miles are on it ? ,inquire
73,"it's on the car fax report , the car is well maintained and has a clean title . ",inform
74,"that's great . and it's an automatic , correct ? ",inquire
75,it's on the carfax report . please feel free to come by and test drive it . ,inform
76,"okay , thanks so much . now , 7000 is a bit above my budget . is there anyway you might come down to 6000 ? ",init-price
77,$6500 and i'll throw in a 2 year warranty ! ,counter-price
78,6300 and i'll take it ! ,counter-price
79,deal ,agree
80,<end>,<end>
81,hi how are you ? ,intro
82,"hey there , nice table ",intro
83,yes indeed it is beautiful ,supplemental
84,does the table come with mugs or coasters ? ,inquire
85,it looks so stylish . my budget is 500 dollars . ,init-price
86,this is a beautiful paul frankl black stepped coffee table asking 500 is an insult . ,counter-price
87,i would go no lower than 900 dollars . remember if you keep it in the condition i give it to you in it will increase in value . ,insist
88,"yeah you're right 750 sounds like a really good deal to me too , i can pick it up in my pick up truck ",counter-price
89,sounds good ,agree
90,<end>,<end>
91,hi i am interested in your apartment is there anything included in the rent ? ,intro
92,"yeah , i can include 5 cats if you would like . deal ? ",inform
93,not a fan of cats how about utilities instead ? ,inquire
94,"i will include gas and heating if you take 2 of my cats , deal ? ",inform
95,well if i am taking the cats i may need a little more motivation could you maybe take 2000 a month for the place and i will take 3 of them ? ,init-price
96,i'll take your offer if you agree to love the cats forever . deal ? ,agree
97,i can do that . ,agree
98,<end>,<end>
99,"hi , i'm messaging you regarding the apartments for rent . ",intro
100,"hello , yes , do you have good credit ? ",inquire
101,we are offering a discount to those with good credit ? ,vague-price
102,"yea , credit's not a problem . i've got a 740+ fico score . ",inform
103,but let me ask you something . how big are the units ? ,inquire
104,"they are approximately 565 sq . ft . very reasonable for the area , very reasonable indeed . we are fairly close to the hills too , so they are much larger than you would find closer towards the water . ",inform
105,"let me ask before i give you an offer , we are also adding a discount for those who have equal housing opportunity vouchers . ",vague-price
106,do you have a voucher ? ,inquire
