,text,meta_text
0,hi . ,intro
1,"i like those , but i'm really short on cash . ",init-price
2,i was asking 5 dollars could you go a little higher ?,counter-price
3,i might have to scrape some coings together . i might get 3 bucks together .,counter-price
4,yes i think 3 dollars each would be fine .,agree
5,i could pay 4 for both .,counter-price
6,4 . 75 for both and their yours,counter-price
7,okay i'll borrow some money from my gf . it looks like 4 is as high as i can go .,insist
8,ok that will work thank you ,agree
9,good . ,unknown
10,<end>,<end>
11,hi how are you is the 3 br house still available ?,inquire
12,it is ! are you interested ? it's a great property . ,supplemental
13,it does look great what is the condition inside it says fully remodeled so it should be like new right ? ,inquire
14,you'll love it . it's got hardwood floors . has just be repainted throughout . new refrigerator and stove . how does that sound ? ,inform
15,it sounds wonderful ! but your price is a liiiitle too steep for me the rent im paying now is 1250 ! would you be able to accept 2425 ?,init-price
16,"i can't go that low to be fair to my other tenants , but , i would be willing to accept $2 , 600 and not require a deposit . would that be helpful ?",counter-price
17,yes that would work out thanks ! ,agree
18,terrific . ,unknown
19,<end>,<end>
20,this is beautiful . how long have you had it ? ,inquire
21,"i had it for about 1 year , but it doesn't fit my decor now that i'm redecorating .",inform
22,any chips in the base ? ,inquire
23,no . it's in great condition . ,inform
24,and it comes with a white lampshade ? ,inquire
25,yes . all the parts are there ,inform
26,"is it heavy , do you know how much it weighs ? ",inquire
27,"no . i don't know exactly how much it weighs but it's pretty light weight . the base measures 8 . 5 diameter and is 3"" thick",inform
28,i only ask because i was wondering if you ship it or is it only for pickup ? ,inquire
29,it can be shipped or picked up . ,inform
30,could you let it go for $135 ?,init-price
31,deal ,agree
32,great . i'm really happy we could come to a deal . i think i will be able ot pick it up anyway . would tomorrow do ? ,inquire
33,yes . tommorow would be great . ,inform
34,great . i'll see you then . ,thanks
35,<end>,<end>
36,this is a great place . ,supplemental
37,it looks beautiful ! i'm extremley interested but the price seems a little on the high side for the area . are there any utilities included ? ,inquire
38,yes all utilities are included and everything is brand new and i am willing to waive the entire deposit as well as the application fee . ,inform
39,<end>,<end>
40,welcome ! i see you're interested in our property ! ,intro
41,yes ia dog allowd ,unknown
42,"pets are welcome as long as they follow our size and breed restrictions . in addition , there is a pet deposit of $300 in addition to security deposit and a pet rent of $25/month .",init-price
43,do you need 1st month and last rent also,inquire
44,"security deposit is $500 , but an additional deposit might be required based on credit score .",inform
45,at this i can only pay about 1600 could you do that,counter-price
46,"unfortunately , that is not a reasonable offer for this area . ",disagree
47,how long of a lease were you considering ? ,inquire
48,6 month,unknown
49,"hmmm , a longer lease would help us here . how about $2200 for a 16 month lease ?",counter-price
50,would you do 1800 for 24 month,counter-price
51,"the lowest i could go would be $2000 for a 24 month lease , with a good credit check .",disagree
52,how bout 1900,counter-price
53,"we could only do that if you agreed to an increased security deposit of $1000 , i think .",counter-price
54,how about 1900 a month wilth a securty of 800,counter-price
55,"i can't agree to that , unfortunately . it'd have to be $1900 a month with a $1000 security deposit , for a 24 month lease .",disagree
56,deal ,agree
57,<end>,<end>
58,how old exactly is the phone ? i am interested in it . ,inquire
59,the phone is about two years old but has been welling taken care of . ,inform
60,does all the accessories come with it as well ? ,inquire
