,text,meta_text
0,"hello , is the lexus still available ? ",intro
1,would you like to come look at my lexus ,intro
2,yes it is ! do you have any questions about the car ? ,intro
3,has it had any accidents ? ,inquire
4,"no , it has not . i can provide a free carfax report along with the sale if you are interested in purchasing ",inform
5,"ok , sounds good . i see that you are asking $3500 that is a bit out of my price range ? ",init-price
6,"okay , what price were you thinking ? ",inquire
7,i was thinking around $2450 ,counter-price
8,"alright , but for that price i don't think i can throw in the carfax , you'll have to get that yourself ",agree
9,"ok , that sounds far ",agree
10,great when do you want to cpome check it out in person ? ,inquire
11,yes i will have cash in hand ,inform
12,<end>,<end>
13,hi ! what is the flooring of the home ? ,inquire
14,"hi there , it's a good 1500 sqft . i'm asking 2995/month ",inform
15,"sure , what's the flooring ",inquire
16,"oh , sorry , i misunderstood the question . hard wood . ",inform
17,"that's great but i think 2995 is too expensive for 1 bath , how's 1600 ? ",init-price
18,"that's too low for this neighborhood-- none of the houses around here go for that low . i could do 2700 , maybe . ",counter-price
19,2600 if i pay for the rest of the year ? ,inquire
20,"sure , i'll do that . ",inform
21,<end>,<end>
22,hello ! i saw your post about the bed . ,intro
23,hi ! any questions ? ,intro
24,i guess you need to get it out of your way . would you accept $300 if i pick it up ? ,init-price
25,"i was willing to deliver for free , i won't go below 400 ",counter-price
26,how about $350 cash and i'll pick it up ? ,counter-price
27,deal ,agree
28,<end>,<end>
29,"so your bike looks pretty badass , is it still for sale ? ",inquire
30,oh it's very badass and yes it's still sale . ,inform
31,"i'm very interested in it . i see it has 1300 miles on it , is it well maintained ? ",inquire
32,the bike has only been garage kept and i take extrmely good care of it . ,inform
33,does it have any chips or scratches on the frame ? ,inquire
34,there is one scuff that is visible along the down tube and a few everyday riding chips but everything looks great . ,inform
35,did you use it for mountain biking ? ,inquire
36,nope ! only used the bike to commute to and from work ! ,inform
37,would you be willing to accept $900 if i pick it up from you ? ,init-price
38,$900 is a tad too low for me . the bike comes with the oem and aftermarket tires . ,vague-price
39,ok i can give you $945 . ,counter-price
40,"deal . i'll send you my address , just shoot me a text when you're on the way . ",agree
41,<end>,<end>
42,hi ! i'm interested in one of the chairs . are they still available ? ,intro
43,yes . they are available . ,intro
44,ok i would you be willing to take $40 for one ? i see there is some wear on the corners . ,init-price
45,i would like to get rid of both . if you would take both i could come down little on the price and deliver . ,vague-price
46,ok how about both for $65 and you deliver . ,counter-price
47,yes . i ac ,agree
48,ok great ! thanks ! ,thanks
49,<end>,<end>
50,hi there . how r u ? ,intro
51,hi i saw your ad and am interested . how much are you asking ? ,inquire
52,i am asking $1400 everything in excellect condition . ,init-price
53,that seems a little pricey . would you be willing to accept 1000 ? ,counter-price
54,"i would like to get at least $1 , 150 . everything is up to date w/granite counters , tile floors and garbage paid as well . . great location as well . ",counter-price
55,okay that's a fair price . i can do that ! ,agree
56,awesome . . thanks ! ,thanks
57,<end>,<end>
58,"hi , just saw your drawer unit online , the yellow ikea one . is it still for sale ? ",inquire
59,yes it is . ,inform
60,im asking 30 . ,init-price
61,i really would have to paint it a different color because the yellow doesn't go with my motif . could you go $25 ? ,counter-price
62,"i understand , yellow is very bright ! and yes i can do $25 . i'll send you my address . ",agree
63,<end>,<end>
64,"hi , i saw your listing for your nightstand . what kind of shape is it in ? ",inquire
65,"it's vintage so it has some wear , but it's in good shape nonetheless ",inform
66,"yea , it looks a little beat up . i really need a night stand though . i'm willing to pay $10 and pick it up myself . cash in hand . ",init-price
67,make it $12 and you have a deal ,counter-price
68,thats fair thanks ! ,thanks
69,<end>,<end>
70,hi ! how are you ? i'm interested in the rug you have for sale . ,intro
71,"hi , i'm good , you ? thanks for your interest , this is a beautiful rug and you'll love having it in your home . have you owned one like this before ? ",inquire
72,i haven't but i have wanted to . ,inform
73,what color is it ? is there a design on it ? ,inquire
74,it's a light brown with dark flower pattern . . it's a really pretty design . i can text you a picture if you want ,inform
75,ohhh it sounds pretty ! i'd love to see a picture ! you are asking $100 correct ? ,init-price
76,yes thats correct but i'm more interested in getting it into the hands of someone who'll appreciate it as much as i do ,agree
77,i certainly would appreciate it . would you be able to meet this evening ? ,inquire
78,"yes , i can make it . . where would you like to meet ",inform
79,we could meet at the mcdonald's in alameda . would you be willing to take $90 for it ? ,counter-price
80,can you do 95 ? ,counter-price
81,i can do that ! deal ! ,agree
82,<end>,<end>
83,"hello , yes , i'm interested in the car in the listing ? ",intro
84,"hello great ! yes she is a beautiful car , kept in very good condition and priced to sell quickly ! ",intro
85,"well , can you tell me if there are any problems with the car ? ",inquire
86,"no problems , i did recently replace the fuel pump and the rotary sensor , as well as the brakes and rotors ",inform
87,"well , then i'm interested . i'd like to pay $2750 . ",init-price
88,"i could possibly work something out , but i don't think i can come down that low . the tires are almost brand new too so you won't need to replace those for a while . will you be paying in cash ? ",inquire
89,"yes , i don't have any problem paying in cash . ",inform
90,"ok great , i could let you have the car for $4000 cash ",counter-price
91,"well , i'd be willing to come up a little bit , i could see coming up to $3200 . ",counter-price
92,$3500 is the lowest i can go if you can come get her today ,counter-price
93,"okay , i can come by today , and i'll come up to $3500 . ",agree
94,sounds like a deal ! ,agree
95,"okay , i'll come by tonight to get it , and also to pick up the car :) ",agree
96,great thank you ! ,thanks
97,<end>,<end>
98,hello ! ,intro
99,"hi , i'm interested in the sofa . what kind of shape is it in ? ",inquire
100,"it's in like-new condition . i really like it because it's long enough to stretch out on , but my wife wants armchairs instead . ",inform
101,"it looks like it's in decent shape , but a little older style then i like . would you be willing to lower the price ? ",inquire
102,i'll go down to $600 if you'll pick it up . ,init-price
103,"i'd be willing to pay cash and pick it up today , if you could take $525 . ",counter-price
104,it's a deal . ,agree
105,<end>,<end>
106,"hi , i have a gorgeous french cabinet for sale for $359 . ",init-price
107,"hi , yes i am very interested . i'm a little tight on cash this month . my grandmother had one just like it though , so this piece would mean a lot to me . could you settle for $300 if i come pick it up ? ",counter-price
108,we will be closing soon . will you be able to make it here in under an hour ? ,inquire
109,you betcha . i'll leave right now ! ,inform
110,okay $300 is a deal . ,agree
111,<end>,<end>
112,hello ! ,intro
113,"hello , how are you today ? ",intro
114,good thanks . and you ? ,intro
115,i am good . are you in the market for new vehicle ? ,inquire
116,<end>,<end>
117,hi are you interested in this vehicle ? ,intro
118,"yes i am , how does it run ? ",inquire
119,its great and very smooth ! ,inform
120,"awesome , it looks just like what i'm in the market for . wondering if you will take about $7000 cash for it ? ",init-price
121,well i can do that . but you need to pay some deposit so i know you're serious about buying it ,agree
122,what about if i can meet you today ? ,inquire
123,sure ! ,inform
124,i can meet you at a mall that works for the both of us around evening today ? ,inquire
125,"that sounds perfect , thank you . ",agree
126,sure then we got a deal ! ,agree
127,<end>,<end>
128,hi ! ,intro
129,"hi , so are you interested in the board ? its pretty sweet ",intro
