,text,meta_text
0,hi ! ,intro
1,what can you tell me about your house for sale ? how many bedrooms/bathrooms ? ,inquire
2,it has 3 bedrooms and 2 baths with a lot of amenities . ,inform
3,how much is it ? ,inquire
4,i am asking $2320 . ,init-price
5,how old is the home ? how many families have lived in it ? ,inquire
6,there was only one family before ours the home was built recently . it was built in 1998. ,inform
7,there is not much wear on the house . this also means that there will not be any lead paint on the walls if you have little ones . ,supplemental
8,"nice , is there any way i can get you to go down on the price ? ",vague-price
9,how low are you thinking . i can't go too low because i am wanting someone to take over the payments . ,inquire
10,"ah , i was thinking $1160 , i own a grocery store and i'm low on cash right now , but if you accept that i can give you a certificate for $1000 in product . ",counter-price
11,that is a bit too low for me could you do $2000 ? ,counter-price
12,"alright , tell me more about the amenities of the home and i will think about it . ",agree
13,the a/c unit was replaced two years ago so it is working great . as you can see in the picture the kitchen is up to date . ,supplemental
14,there are hardwood floors throughout the house . there is also a nice size yard of 1 acre that is fenced in . ,supplemental
15,"alright , that's nothing too special to me , would you go down to $1800 ? ",counter-price
16,<end>,<end>
17,"hello , i received your e-mail regarding your interest in my '02' mercedes c240 . any questions ? ",intro
18,"hello , yes i have a few questions . what is the mileage on this car and how long have you owned it ? ",inquire
19,"i am the first owner of this car , bought it right off the lot . it has only 80k miles and the new michilin tires have seen only 3k miles . ",supplemental
20,i am asking only $4500 for her . ,init-price
21,that all sounds pretty good . ,agree
22,if i came by tonight would i be able to take it for a test drive ? and you would consider taking $4 for it if i paid cash ? ,inquire
23,"the test drive is okay , the engine purrs like a kitten . i was looking for serious offers only . but , i am willing to let her go for $4250 . ",counter-price
24,do you have a cover for it ? ,inquire
25,i sure do and that comes with the vehicle . not a scratch of ding on it . ,insist
26,alright i think i can do $4250 if everything checks out ,agree
27,come on by for that test drive . i'll e-mail you my address . ,unknown
28,<end>,<end>
29,"hi , you said you have a bit of wiggle on the price -- what's the lowest you could accept ? ",inquire
30,"well i really love the car , but i have a baby on the way and my wife is making me sell . ",inform
31,the lowest i could take 12000 ,init-price
32,"ok , that sounds reasonable . ",agree
33,<end>,<end>
34,hello ,intro
35,hey there ! ,intro
36,are you interested in buying this car ? ,intro
37,yes i definitely am ! i would be willing to come and pick it up if you can drop the price to $11500 . ,init-price
38,that sounds like a fair price . ,agree
39,would you like it to be delivered to you ? ,inquire
40,oh even better ! ,inform
41,i'd love that ! thanks so much for being reasonable and understanding ! ,thanks
42,not a problem and it will be the same price for delivery . no extra charge . ,supplemental
43,thanks so much ! ,thanks
44,no problem . have a good one . ,thanks
45,<end>,<end>
46,"hi , are you calling about the desk ? ",inquire
47,yes i'm interested in the desk ,intro
48,what kind of condition is it in ? ,inquire
49,"it is in excellent condition . like new actually . i was going to usee it in my office , but then my wife left me . now i need to sell it to pay her off . ",inform
50,would you be willing to work with me on the price at all ? ,inquire
51,"i could probably come down a bit , but not too much . what were you thinking ? ",vague-price
52,i was thinking about 20 bucks ,init-price
53,how about 35 and i can include the chair as well . ,counter-price
54,you know what that sounds good to me we have a deal . ,agree
55,very good 35 with the chair . ,thanks
56,<end>,<end>
57,hello are you interested in the phone ? ,intro
58,hi there . yes i am . can you tell me if its used or new ? ,inquire
59,it's used and the screen is cracked . i'm selling for only $60 . ,init-price
60,if its cracked then can you accept $30 for it ? ,counter-price
61,it's in good working condition . i would need to get at least $45 . ,counter-price
62,what's the color of the phone since i don't see any image ? ,inquire
63,it's black . ,inform
64,is the crack very visible ? ,inquire
65,"it's visible , but you could still use it . you only notice it when it's off . ",inform
66,okay then what else can you throw in with $45 ? ,inquire
67,i have the charge cable and a rubber case . ,inform
