,text,meta_text
0,"hi , not sure if the charger would work for my car . ",intro
1,can you sell it to me for $5 ? ,init-price
2,"it will work , i have never seen a car without a cigarette lighter port . ",inform
3,"still , can i buy it for $5 ? i'm on a tight budge ",insist
4,i think the lowest i would want to go is 8 . ,counter-price
5,how about $6 and i pick it up myself ? it'll save you shipping to me . ,counter-price
6,"7 , and we have a deal . ",counter-price
7,"eh , fine . $7 . ",agree
8,<end>,<end>
9,"hi , i am interested in your board ! ",intro
10,"hi , do you have any questions ? ",intro
11,do you know what wood it is made out of ? ,inquire
12,i do not know specifically but the brand is a gravity skateboard . ,inform
13,"the wheels seem nice on it , but they could be a beter quality . ",supplemental
14,would you accept 100 for the board ? ,init-price
15,"no , that offer is too low . ",vague-price
16,the board is pretty much brand new as it's been ridden only 4 or 5 times . the bone bearings are brand new . ,supplemental
17,if i picked it up at your location would you accpet 120 ? ,counter-price
18,make it 150 and we got a deal . ,counter-price
19,"i could do 145 , if you can gurantee the painting on the front of the board is not scratched up . ",counter-price
20,deal ,agree
21,great ! ,thanks
22,<end>,<end>
23,i would love to buy ,intro
24,sure ! what's your price ? ,inquire
25,im on a budget so i could do 1850 ,init-price
26,how about $1900 and i'll wave the deposit . ,counter-price
27,i will take it ,agree
28,great ! ,thanks
29,<end>,<end>
30,hello ,intro
31,hi ,intro
32,how old is the couch ? ,inquire
33,it is practically brand new ,inform
34,"as you know , the value goes down as soon as the couch goes out the door . ",vague-price
35,i see the list price is 585 . i can give you 400 for it and can pick it up today . ,init-price
36,"well as i said it has nearly no wear and was in a non-smoking home , i can go as low as 480 on it ",counter-price
37,<end>,<end>
38,"hi , $15 sound good ? ",init-price
39,can you come down a little more ? ,vague-price
40,the condition is only average . ,supplemental
41,"alright , $14 ? ",counter-price
42,actually i was looking for something closer to $10 . ,counter-price
43,sounds good . $10 is fine . ,agree
44,<end>,<end>
45,man thats a nice trak ,supplemental
46,yes its really nice ,supplemental
47,how about you give it to me for 8000 ,init-price
48,that is way too little ,vague-price
49,i realy dont need it but i can pay you 8200 if you let it go ,counter-price
50,i can go down to 14k but i can't knock off 6k ,counter-price
51,"oh man i cant afford that , i need to buy food for my pigs and farm and send my child to private school , can you do 13k ? ",counter-price
52,i will take 13k ,agree
53,ok i can pick it up this weekend ,agree
54,sounds good ,thanks
55,<end>,<end>
56,"hello , i offer $500 for this studio . ",init-price
57,i accept . ,agree
58,"wow , great . okay i will submit $500 . ",agree
59,<end>,<end>
60,"hi , think i could get it for $20000 ? ",init-price
61,"that's a little low for this car , i was hoping to get something closer to the price i listed . ",vague-price
62,"okay , $22000 ? ",counter-price
63,are you sure you can't come up a bit more ? ,vague-price
64,this car is awesome . ,supplemental
65,$24000 is my final offer ,counter-price
66,<end>,<end>
67,hi ,intro
68,good afternoon ,intro
69,"brand new phone , still in the box , no contracts to worry about ",supplemental
70,sounds pretty nice . would you take $705 for it ? ,init-price
71,i mean it is still in it's original packaging and the warranty is included . i can do 760 . ,counter-price
72,warranty sounds useful with kids and a dog at home . how about $750 and we'll finish this deal now ? ,counter-price
73,okay deal . ,agree
74,<end>,<end>
75,hello ,intro
76,hello ,intro
77,i think your offer is fair . i'll go ahead and accept it . ,agree
78,<end>,<end>
79,"hi , i'd love to have this sofa , but i just can't pay that much for a used one . ",intro
80,would you take $50 ? ,init-price
81,how about 120 ,counter-price
82,i just can't go that high . i can't even see what it looks like under that blanket and you stated that you bought it used so idk were it's been ,vague-price
83,well 90 is lowest i will go ,counter-price
84,could you do 75 cash ? that's all i've got right now ,counter-price
85,"i appreciate the best offer , its a deal ",agree
86,<end>,<end>
87,hi iam interested in your microsd card for sale ,intro
88,good . what is your offer ? ,inquire
89,"i would like to offer you 65 . 00 , i know their worth and that seems of correct value to me . ",init-price
