,text,meta_text
0,how we doing today ,intro
1,hey ,intro
2,so what can i do for you today ,intro
3,i'm looking for a good deal on a laptop ,intro
4,ok i got what you need how many ? ,inquire
5,what the price range i can pay $200 for it ,init-price
6,"i need minimum 300 per mac book , it's a great price since we are certified apple techniciens , you can also resell them for 400 a piece ",counter-price
7,come on man i need it for 200 ,insist
8,"no can do , 280 is the best i could for you partner ",counter-price
9,man all i have is $228 that it my pockets are busted ,counter-price
10,"then theres nothing to discuss here , my final offer is 250 ",disagree
11,<end>,<end>
12,hey there ! heard you were interested in purchasing my marin coast trail bike ,intro
13,how old are the tires ? ,inquire
14,"got them changed two months ago , they're 26 x 1 . 95 inch kenda krossplus tires ",inform
15,was there a chain guard with the bike ? ,inquire
16,"no there isn't , she's an older gal . ",inform
17,would you do fifty ? ,init-price
18,"i was planning on selling it for around $150 , used to ride a lot and kept the bike well maintained . new job and everything so haven't really had the chance to ride anymore . since the chain guard is missing i'd be happy to go down to $100 ",counter-price
19,"it would be just parts for me , $50 is all it is worth to me . ",insist
20,eh afraid i can't do that . if you'd come pick it up i'd do $75 to save myself the hassle ,counter-price
21,"ok , i can pick it up . $75 . 00 ",agree
22,<end>,<end>
23,hi ! i am interested in the 2008 yaris ,intro
24,hi ! ,intro
25,how many miles are on this 08 ? have they been in town or on the highway ? ,inquire
26,"well there are a lot of aspects to this car ! it is running in great condition and is basically new . it has 10 , 000 miles on the baby ! ",inform
27,does it have any accidents ? ,inquire
28,none that i know of . i purchased from a friend who needed to get rid of it after his daughter's right leg was bitten off by a shark ! ,inform
29,oh man ! well this is exactly what i am looking for . can you do $2500 ? ,init-price
30,absolutely not ! the lowest i will go is 3500 my friend ! ,counter-price
31,can i get the warranty transfered to my name ? ,inquire
32,yes of course ! ,inform
33,<end>,<end>
34,hi ! ,intro
35,hello . how are you ? ,intro
36,great thanks ! i am selling this great piece for a cheap price . it is going for $250 . ,init-price
37,so you found this trunk in a second hand store ? ,inquire
38,yes it was incredible ! i love the piece and it is a shame that it has to go ! but we want someone else to experience its beauty ! ,inform
39,"could i pick it up today , with cash ? ",inquire
40,"ok , i will give it to you for two easy payments of $124 . 99 ! ",init-price
41,how about $210 all at once ? ,counter-price
42,"oh ! that is a tough one ! how about 225 , and we have a deal ! ",counter-price
43,fine . that'll do . ,agree
44,<end>,<end>
45,hi ,intro
46,"hello , are any utilities included in the unit ? ",inquire
47,hi no utilities are included but there is a free pool and a state of the art fitness center that are both included in the price . ,inform
48,that sounds good but i need money left over for water and energy bills . would you be willing to accept $800 ? ,init-price
49,i cannot go that low . the least i can take is 1100 and if you have pets they are no additional charge . ,counter-price
50,i do have a dog named rufus . i'll take it at $1100 since you won't charge me an additional pet fee . ,agree
51,<end>,<end>
52,i need a apartment but cant aford the price ,vague-price
53,"well , what can you afford ? ",inquire
54,what the apartment near ,inquire
55,it is near the bart . 2 minutes from berkley and close to tons of shops and restaurants . ,inform
56,what the price range ,inquire
57,"it rents for $1915 , but i would be willing to less if you take it unfurnished . ",insist
58,whats the unfirished price ,inquire
59,1700,counter-price
60,cool that's in my budget of $1761 ,agree
