,text,meta_text
0,"hello , could i interest you in a 1999 bmw ? ",intro
1,i'm actually selling a 1999 bmw . would you like to buy it ? ,intro
2,"oops ! yes , i would love to buy it ! i am very interested . ",intro
3,"great ! the wagon is a reliable car , and i have it priced at $3500 ",init-price
4,"wow , thats really steep . its only a 1999 . i can really only go 3 , 000 . ",counter-price
5,"i've kept the car up to date on oil changes , and regular routine maintenance . i have a small auto shop where i do oil changes and can give you a 1 year subscription to free changes every 3 months if we can agree on $3250 ",counter-price
6,"wow , thats not bad at all . lets do it ! ",agree
7,<end>,<end>
8,"hi , i am interested in the sofa and loveseat if it's still available . ",intro
9,yes they are still available ,intro
10,does it come from a pet/smoke free home ? ,inquire
11,yes ,inform
12,great ! if you are willing to drop the price to $420 i could come pick it up now and pay cash . ,init-price
13,make it $475 and they are yours ,counter-price
14,can we meet at $445 ? ,counter-price
15,$475 is as low as i feel i can go . ,insist
16,$450 and i can be there as soon as you give me the address . ,counter-price
17,i need to get rid of them so i will take that ,agree
18,sold ! ,thanks
19,<end>,<end>
20,hi . interested in the phone ? ,intro
21,"yes , but are you firm at 60$ ? ",init-price
22,"as much as i'd like to be , we can work on a price . what are you thinking ? ",inquire
23,i was thinking maybe around 30$ ,counter-price
24,"oh wow . that's much lower than i anticipated . i am trying to get rid of it , but i'd also not like to lose out on it . how about $45 ? ",counter-price
25,i could go 40$ and pick it up . ,counter-price
26,$45 is the lowest i'm willing to go . it's a great phone and $45 is a steal ! ,counter-price
27,does it come with the charger and any accessories ? ,inquire
28,"yeah , i've got a wall charger , car charger , and headphones . ",inform
29,"okay , i will do 45$ . ",agree
30,<end>,<end>
31,nice cables you have . ,intro
32,can you tell me about them ? ,inquire
33,"they are in good condition , 6 feet long , rca cables ",inform
34,"i see they are used , hopefully you can go down to $14 ? ",insist
35,would that be reasonable if i came to pick it up today ? ,inquire
36,could you do an even 15 ? today would be great to pick them up ,counter-price
37,and there is nothing wrong with them ? ,inquire
38,"nothing , we've just downsized a bit ",agree
39,ok thanks . $15 is the offer . that is fair . ,thanks
40,<end>,<end>
41,"hello , are you interested in the trek bike ? ",intro
42,hey there ! i am very interested in your bike as i am a short person ! ,intro
43,"you said it looks very scratched up , can you elaborate ? ",inquire
44,"it appears scratched , but works great ! ",inform
45,honestly i just need a bike to be able to get to work right now . someone stole my car which had my purse and all my stuff in it i have been down on my luck and this bike sounds perfect . ,supplemental
46,how low are you willing to go ? ,inquire
47,"oh , i'm so sorry ! it's such a great bike , that i have been re-building . could you buy it for $45 ? ",init-price
48,"i could , but then i wouldn't have enough money for food this week since my purse was stolen too . would you mind accepting $35 i really wouldn't usually ask but considering my situation i could really use the help . ",counter-price
49,"that is a bit too low , but , i'm willing to meet in the middle . how about 40 ? ",disagree
50,what about one more offer at $35 and i can come pick it up ? ,counter-price
51,"well , you seem like a nice person . let's say 38 and call it a deal ! ",counter-price
52,<end>,<end>
53,"hello , i'm looking to rent your apartment ",intro
54,"okay , are the terms as listed in the advertisement acceptable to you ? ",inquire
55,"it seems good , is it in a god neighborhood ? ",inquire
56,"we like the neighborhood , yes . if you want we can schedule an appointment either during or outside of open house hours , and you can see for yourself . ",inform
57,thats okay . i am busy today . can you lower the price a bit for the poor college student ? i can offer 1700 ,init-price
58,we could probably go as low as $1850 . ,counter-price
59,how about 1800 and i pay today ? ,counter-price
60,we can do that . ,agree
61,<end>,<end>
62,hello . . . ,intro
63,hi is the house still available ? ,inquire
64,"it is still available , though have some other interested parties ",inform
65,how far away is it from stores and what is the flooring like also does it come with any appliances ? ,inquire
66,"it does come with washer and dryer . about 1 mile from supermarket , flooring is hardwood and new carpet . ",inform
67,that's good . the house is kind of in a bad part of town so i think it's a little overpriced are you flexible at all when it comes to the price ? ,inquire
68,"it is located in a good part of the neighborhood , and might give some consideration to price , though it is certainly comparable to other rates in this neighborhood . ",inform
69,"will you take $2 , 000 that's kind of where my budget is right now ",init-price
70,"sorry , bout couldn't go that low . could go down to 2450 . ",counter-price
71,i can come up to 2400 if you throw in utilities that possible ? ,counter-price
