,text,meta_text
0,hi ! are you interested in my iphone 6 ,intro
1,yes ,intro
2,ok great ! i'm asking $340 cash . when would you like to pick it up ? ,init-price
3,would you take $280 ,counter-price
4,i could do $315 and i'll throw in the case (which is like new too) ! ,counter-price
5,i have a case already . would you take $300 without the case ,counter-price
6,i can do $300 cash if you can pick it up this evening between 5-7 . ,agree
7,you have a deal ,agree
8,ok great ! see you this evening ! ,thanks
9,<end>,<end>
10,hi . what condition is this chair ? ,inquire
11,the chair is in great condition . ,inform
12,i would like to make a offer of $22 and i will pick one up right now . ,init-price
13,<end>,<end>
14,hello . i would like to buy your planter boxes please . ,intro
15,awesome . did you have any questions about them ? they're beautifully made and custom . i can also drop them off if you need . ,inquire
16,that would be great . no questions . i love how they are made . would you be willing to take $22 for them . i have cash . ,init-price
17,"if you're paying cash , absolutely . you've got yourself a deal . do you have a car they can fit in ? ",inquire
18,"yes , i do . i can pick up if that would be easier for you . ",inform
19,that would be great ! it's a deal then . ,agree
20,"great , thank you so much . ",thanks
21,<end>,<end>
22,are appliances included ? washer and dryer ? ,inquire
23,all appliances are there including washer and dryer . ,inform
24,what about pets ? smokers ? ,inquire
25,pets are ok but smoking inside is not . ,inform
26,"did the previous occupant have pets ? if so , have the carpets been shampooed or replaced ? ",inquire
27,the last occupant did not have pets . the carpets have been cleaned and the walls freshly painted . ,inform
28,do you have an available unit at the end of a row ? having one neighbor is fine . i can't stand having at attached neighbor on both sides . ,inquire
29,"yes , this unit is on the end . it's a gorgeous home and i am sure you will be please with it and all the amenities . pool and clubhouse ! ",inform
30,"it's overpriced . $1 , 500 and i'll move in the beginning of the month . ",init-price
31,i'm afraid that price is way to low for this unit . the lowest i could go is 2600 . ,counter-price
32,"2 , 250 ? ",counter-price
33,<end>,<end>
34,"hi , i am interested in your phone . i have a few questions ",intro
35,are you willing to purchase today ,intro
36,does is have any flaws . scrathes ? cracked screen ? ,inquire
37,"no , it is brand new ",inform
38,"okay great . i am willing to purchse today but , the price is a bit high for my budget . would you go any lower ? ",vague-price
39,the lowest i could go is $310 . i purchased it for way more ,init-price
40,well thats not much of a discount . do you have anything else to offer with it ? car charger ? case ? ,inquire
41,"yes it is a full kit , fresh out of the box ",inform
42,okay awesome ! with the extra accessories i can do 310 . we will meet tomorrow ? morning or afternoon ? ,insist
43,that is fine . great deal ,agree
44,<end>,<end>
45,hi . i see your interested in my bed ? ,intro
46,hi ! i'm very interested in your hospital bed ! how old is it ? ,inquire
47,not that old just a couple years old in excellent condition barely used . ,inform
48,does the mattress have stains on it ? ,inquire
49,no the mattress in great condition very nice looking mattress . ,inform
50,sounds nice ! would you be willing to take $472 cash for it ? i can pick it up anytime that is convenient for you . ,init-price
51,i can do $480 and i will deliver it to you right now free of charge . ,counter-price
52,you have a deal ! ! thank you ! ,agree
53,<end>,<end>
54,"hello , i am interested in the one bedroom appt you have listed . ",intro
55,you will love it . it has central air and assigned off street parking . the kitchen is large with lots of counterspace . ,supplemental
56,"great , i love a nice kitchen . is it furnished by chance ? ",inquire
57,it is not furnished . ,inform
58,"okay , is there a on site washer/dryer or will i need to locate a laundromat ? ",inquire
59,there is coin laundry in each building ,inform
60,"awesome . i love all the perks of where it is located . however , i can not afford $1975 . could you lower it to 1500 ? ",init-price
61,i could lower it to $1700 ,counter-price
62,"okay , that is fine . i will be by tomorrow to fill out paperwork . thank you . ",agree
63,great ,thanks
64,<end>,<end>
65,"hi , i am very interested in this bike ! ",intro
66,"great , do you have any questions about it ? ",intro
67,how new are the tires ? ,inquire
68,the tires are still new . i just purchased them a few months ago . ,inform
69,oh great ! ,inquire
70,how often do you ride it ? would you be willing to lower the price a bit ? ,vague-price
71,i ride it a few times a month but i am getting a new one soon . ,inform
72,i can lower it to $200 but you would have to come get it . ,init-price
73,absolutely ! $200 is a great price for it . i am willing to come to you for that good of a deal . i will bring the money to you tomorrow morning . ,agree
74,"great , see you then . ",thanks
75,<end>,<end>
76,hi . i see your interested in my bicycle ? ,intro
77,yes i am but i see that it has been slightly refurbished ,intro
78,it has but it is a great bike i did add new things to this bike and it is in great condition . ,supplemental
79,i was looking for something a little more original but i still can make you an offer ,unknown
80,what is your offer ? ,inquire
81,will you take $50 ,init-price
82,i can take $65 and will bring it to you right now free of charge . ,counter-price
83,how about $60 and i'm on my way ,counter-price
84,we have a deal . ,agree
85,good deal ,thanks
86,<end>,<end>
87,hi ! are you interested in the apartment i have available ? i'm asking $2950 . ,init-price
88,i am pretty interested in it . how is the area ? ,inquire
89,"it's a very nice area ! also , very beautiful ! schools are great too ! top rated in the county ! it's only 10 minutes away from san francicso too ! ",inform
90,"awesome , well here's the deal . i'm looking to get my cost around 2655 . if you can shave a couple hundred off the rent i will sign a longer lease agreement . i always pay on time ! ",counter-price
91,i could do $2550 along with the $1500 deposit . ,counter-price
92,okay that will work for me perfectly . you got a deal ! ,agree
93,ok great ,agree
94,<end>,<end>
95,"hi , i am interested in these chairs ",intro
96,these chairs are gorgeous . you would love them . ,intro
97,they do look awesome . the price seems quite steep though . how low are you willing to go ? ,vague-price
98,well these are brand new and you cannot get a better deal elsewhere but since i am in a good mood i can lower it to $1250 . ,init-price
99,okay that sounds great . can you throw in the rug too ? i can pick up today for 1250 ,agree
100,you've got a deal . thank you for shopping and i hope to see you back soon . ,thanks
101,<end>,<end>
102,good evening~ ,intro
103,"hi , are you interested in the recliner ? ",inquire
104,yes ! it looks amazing . ,inform
105,you were looking to accept $550 ? ,init-price
106,"yes , i was looking to get $550 but i am willing to negoitiate for a fair price . it's in really good shape we have had it for 2 years , but it's not really big enough and we ahve a larger place now . ",vague-price
107,"i'm a college student , so this is a bit over my price range , but i would be open to negotiation . i was looking to spend around $450 for a new sofa . ",counter-price
108,i'll take $450 if you can pick it up yourself this weekend ,agree
109,i can do that . does sunday work ? i will bring $450 in cash . ,agree
110,deal ,agree
111,perfect . see you sunday . ,thanks
112,<end>,<end>
113,the table looks beautiful . how long is it with the leaves and everything in ? ,inquire
114,it is double the size ,inform
115,i love it . could you possibly take $50 ? ,init-price
116,i sure can . ,agree
117,when will you be able to pick it up ? ,inquire
118,we can come get it this evening . :) thank you . ,inform
119,<end>,<end>
120,hello how are you doing ? ,intro
121,"i am great . i am interested in the mini cooper . unfortunately , i can't pay that price . will you be willing to drop down some ? ",vague-price
122,i can bring it down some but not too low what is your budget looking like ? ,inquire
123,"i have no doubt that the car is in pretty good condition , but due to its age i don't think it would be wise to spend too much . i was hoping i could go for around $4 , 000 ",init-price
124,"that will be a problem i put in the writeup that i still owe money on the car so we will have to do it at wells fargo and i owe 5200 and was hoping to make a little the difference between 5200 and my asking price of 7500 is 2300 so what kind of fair offer could you make me there ? remember , i may not be able to accept this offer if it is too low . ",counter-price
125,<end>,<end>
126,"hi , i am interested in this townhome but i have a few questions . ",intro
127,"okay , what would you like to know ? ",intro
128,"how many bedrooms does it have and where are they located , also , how many bathrooms ? ",inquire
129,3 bedrooms one downstairs the others upstairs and 3 . 5 baths ,inform
130,nice ! what utilities will i have to pay ? ,inquire
131,the electric and water ,inform
132,"ok , does it have a washer and dryer ? ",inquire
133,"yes , stackable washer and dryer are included ",inform
134,"my budget is kind of tight , would you take 2500 ? ",init-price
135,"i've had others balk at the price as well but considering what all is included , i could drop to 3000 but no lower ",counter-price
136,"if you can do 2800 , i will sign a lease tomorrow . ",counter-price
137,"i'll tell you what i can do , i'll pay the hoa fees for you , which are 200 for the first year if you'll sign at 3000 ",insist
138,"ok , i really need a place . deal ! ",agree
139,<end>,<end>
140,"hi , i am very interested in this house . the pictures are gorgeous . is it located in a good area ? ",inquire
141,it is located in very quite neighborhood ,inform
142,fabulous . are you willing to go down on the price ? i am trying to stay in the $1700 range . ,init-price
143,if you have been on your job for a while i can go down to $2220 ,counter-price
144,i can do $2000 but that's really pushing it . ,counter-price
145,could you meet me in the middle at $2100 ,counter-price
146,you've got a deal . thank you . ,agree
147,<end>,<end>
148,hey . are you interested in the urns ? ,intro
149,hi ! i am ! how old are they ? do you have pictures you can email to me ? ,inquire
150,i don't have any pictures unfortunately . they are located at the antique store right now . although i can tell you they're relatively new . the paint looks great ! ,inform
151,so no chips or scratches ? ,inquire
152,no noticeable blemishes at all ! ,inform
153,would you take $66 cash ? i can pick them up this evening . ,init-price
154,bump it up to 70 and i'll have them ready for you ! ,counter-price
155,i can do that ! i'm so excited ! i love deco things ! i'll see you this evening . ,agree
156,deal ! ,agree
157,<end>,<end>
158,hi . i see your interested in my phone ? ,intro
159,"yes , how long have you had it ? ",inquire
160,only three months it is cracked but works great and has plenty of memory . ,inform
161,"what color is it , does if come awith a charger or any accessories ? ",inquire
162,yes it comes with everything and it is black . i also will throw in the new screen if you know how to get it replaced . ,inform
163,"yeah , i know someone who can replace the screen . would you take $42 ",init-price
164,how bout $45 and i will bring it to you right now . i also will throw in a new case for it that is new . ,counter-price
165,deal ,agree
166,<end>,<end>
167,"hello , are you interested in my item ? ",intro
168,yes i am very interested . does it roll nicely or do the wheels jam ? ,inquire
169,"it rolls very well , which scope do you have ? ",inquire
170,"i actually have the tektronix 7000 series , that's why i was considering this . ",inform
171,can you wiggle from the price a little bit ? ,vague-price
172,"i suppose so , $40 ? that's half what this cart goes for in used condition ",init-price
173,i'll toss you 45 for being really cool ! ,counter-price
174,<end>,<end>
175,hi ! i'm very interested in your iphone . does it have any scratches on it ? ,inquire
176,"hi , no scratches , it was kept in a case . it looks new and works great ! ",inform
177,are you the original owner of it ? is it a darker grey or light grey ? the pic makes it look purple . ,inquire
178,"actually , my girlfriend is the original and only owner . yes the picture makes it look purple but it's ligt grey . ",inform
179,would you take $224 for it ? i can pick it up today and have cash . ,init-price
180,i really need at least 300 for it . i could throw in some screen protectors and deliver it to you . ,counter-price
181,ok i can do $300 . can you bring it this evening ? i need a new phone badly ! ,agree
182,i sure can and we have a deal . ,agree
183,<end>,<end>
184,hello ,intro
185,"hello , i am interested in purchasing the bike ",intro
186,is there anything you want to know about it ? ,intro
187,"yes , are all the parts original ? ",inquire
188,"a lot of the parts have been replaced . it has new shifters , new brakes , new rims , and handlebar grips as of 2 or 3 years ago , but i haven ",inform
189,i was looking for something more original . would you be willing to take $100 if i pick it up today ,init-price
190,"well as i was saying before i fatfingered the keyboard , i know it's used but i haven't used it much since i replaced the parts . the rear brake cable is currently missing but everything else is complete . there's a little rust too but nothing major . i was looking for $220 , but possibly would take $190 ",counter-price
191,from the picture the bike looks a few years old . would you be willing to take $125 ? ,counter-price
192,tell you what if you pick it up tonight i'll take $150 ,counter-price
193,you have a deal ,agree
194,great ! ,agree
195,<end>,<end>
196,"hi , i am interested in the foot massage . ",intro
197,does everything work on it ? ,inquire
198,"hi , are you interested in this item ? ",intro
199,yes everything works ! it's in great condition ! ,inform
